question,answer
"in the event an employer brings on temporary employees from a staffing agency to supplement its workforce due to staffing shortages, is the employer required to adhere the wage requirements of the fair labor standards act (flsa)?","when two or more employers jointly employ an employee, the employee's hours worked for both of the joint employers during the workweek are aggregated and considered as one employment, including for purposes of calculating whether overtime is due. additionally, when joint employment exists, both joint employers are jointly and severally liable for compliance with the pmwa."
how can you reduce covid-19 in long-term care & licensed  residential facilities?,please refer to reducing the spread of covid- 19 flyer.  read here
when did the local health officer order go into effect?,"the local health officer order went into effect on july 13, 2020. the order also requires compliance with all   applicable state health officer orders."
can a k99 applicant apply for an extension of the 4-year eligibility window (for initial applications or resubmissions) due to covid-19?,"yes, k99 applicants can request an extension to their k99 eligibility window due to the effects of covid-19 on their research productivity. affected applicants should consult with the funding ic for further guidance."
how do i report a person with suspected or confirmed covid-19 to vdh?,"if you are a healthcare professional evaluating a patient for suspected or confirmed covid-19, please submit an electronic confidential morbidity report or you may contact your local health department."
designate one person in your home to be their caretaker.,"you can minimize the chance of the virus spreading in your household by putting just one person in charge of caring for your ill family member. if possible, choose someone in your home who’s healthy and not at high risk of getting severely ill if they catch the virus. people who are at high risk include immunocompromised people, adults over 65 years of age, expectant mothers, and people with underlying conditions such as diabetes, heart disease, or lung problems."
when will volunteering be allowed back?,the resumption of in-person volunteering will be dictated by local conditions. it will be at the discretion of provinces and/or municipalities to determine the conditions for safe congregation of people to permit these activities to resume.
do wastewater and sewage workers need any additional protection when handling untreated waste from healthcare or community setting with either a known covid-19 patient or pui?,wastewater workers should use standard practices including basic hygiene precautions and wear the recommended ppe as prescribed for their current work tasks when handling untreated waste. there is no evidence to suggest that employees of wastewater plants need any additional protections in relation to covid-19.
"how should employers decide when to open, close or re-open workplaces and/or suspend or downscale work activities?","deciding to close or re-open a workplace or suspend or downscale work activities should rely on the risk assessment, the capacity to put in place protective measures and the level of compliance, and recommendations of national authorities."
can i touch and hold my newborn baby if i have covid-19?,"yes. close contact and early, exclusive breastfeeding helps a baby to thrive. you should be supported tobreastfeed safely, with good respiratory hygiene; hold your   newborn skin-to-skin, and share a room   with your babyyou should wash your hands before and after touching your baby, and keep all surfaces clean."
"if a post-doc on an active nih grant must return home, to a foreign country, and work remotely due to covid-19, must this be reported to nih as a foreign component?","for post-docs that are required to work on their originally approved work remotely from a foreign country due to covid-19 travel restrictions, where no grant funds are going to a foreign entity, nih has determined that this scenario does not constitute the performance of a significant scientific element or segment of the project outside the us, as outlined in the nih grants policy statement definition of a foreign component."
how will i know if my military pharmacy is operating?,"you can call your mtf pharmacy refill line to check for changes to pharmacy services, closures, and resuming services. you can look up your pharmacy’s number via http://www.tricare.mil/mtf."
take a break from watching the news.,"staying informed is important, but watching the news 24/7 can give you a bad outlook and increase your stress levels. don’t be afraid to take 1 to 2 days off from news websites and social media to care for your mental health. or, you can set aside a small part of the day where you look at the news, then take a break from it for the rest of the day."
what has ahcccs done to date to supply financial relief to providers impacted by the covid-19 emergency?,a second round of the remaining $70 billion in the provider relief fund from the cares act is anticipated to be targeted at: 	 	 medicare facilities and providers hospitals in areas that have been particularly impacted by the covid-19 outbreak treatment of the uninsured rural health clinics and hospitals indian health services facilities medicaid-predominant providers
how will i receive important messages regarding my pua claim?,"claimants should manage everything through their pua dashboard on the website through www.uc.pa.gov/pua. individuals can use their dashboard to check on their claim and payment status, upload documents, etc."
how did this outbreak begin?,"on dec. 31, 2019, chinese health officials alerted the world health organization of several cases of pneumonia in wuhan city, hubei province of china. the pneumonia was caused by a virus that did not match any other known virus."
continue to shelter in place until officials announce it’s okay to leave.,"typically, city officials are declaring a specific time window for a shelter-in-place, such as 2-3 weeks. be sure to follow all of their instructions so you’re in compliance with the policy. don’t return to your normal activities until the shelter-in-place is lifted."
are professional licensing and/or registration fees being waived?,not at this time.  the new york state education department (nysed) is working closely with other new york state agencies and the governor’s office to tackle issues relating to covid-19. please continue to monitor the department’s website for updated guidance.
remind elderly friends and family to get some fresh air.,"getting some sunlight can be really great, especially if you’re feeling a bit isolated and depressed. encourage your loved ones to go for a short walk around their neighborhood, even if it’s not for very long. before they go out, remind them to keep a safe, 6 ft (1.8 m) distance between any strangers they pass on the way."
i am experiencing a mental health crisis. who can i call for help?,"it's ok to ask for help. if you or someone you know is experiencing a mental health crisis, contact the crisis text line by texting pa to 741-741."
"if you're sick but you get better in a few days, does it mean you got infected with covid-19 (or coronavirus)?","the only possible way to find out is to be tested for covid-19. common symptoms are respiratory issues, such as trouble breathing, a dry cough, and fever. if you believe you are suffering from the coronavirus, notify your a health professional and isolate yourself for 14 days."
doesn't social distancing not even work?,"social or physical distancing does work. although you can still catch the virus from coming into close contact with things others have touched, if you remain sensible and cautious and remember to keep great hygiene, social or physical distancing will work for you."
what symptoms should i look out for?,"if you are sick with any of the following symptoms, stay home: fever, cough, shortness of breath, sore throat, muscle aches, fatigue, chills, shaking with chills, headache, nausea, vomiting or diarrhea, loss of smell or taste. other symptoms such as abdominal pain or lack of appetite have been identified as potential symptoms related to covid-19 and may prompt further screening, action or investigation by a medical provider."
can you get covid-19 by living with an asymptomatic carrier?,"studies show that asymptomatic carriers can spread the virus to different items in a room, which may lead to other household members getting sick after touching something contaminated. if someone you live with has covid-19, wash your hands frequently and try to keep a distance from them whenever possible. additionally, disinfect any common surfaces as often as possible, like furniture, countertops, or tables."
i am using no-fault automobile insurance to get medical treatment. can i use telemedicine under no-fault automobile insurance?,"yes, the workers’ compensation board adopted two emergency regulations to allow telemedicine in some circumstances for social distancing purposes due to covid-19."
is there a vaccine?,"no. currently, there is not a vaccine for covid-19."
is aphis still conducting animal welfare act inspections?,"aphis is continuing to conduct regular inspections where local area and individual premises conditions allow our inspectors to maintain social distancing norms. aphis will always place the highest priority on investigating reports of extreme animal welfare act violations that could lead to the confiscation of animals. however, if a state or locality has issued a shelter-in-place order like san francisco, inspectors will honor that order and not conduct inspections in that area at this time."
does adph require food establishments to inform adph is an employee has tested positive for covid-19 specifically?,"food establishments are under no special reporting requirements as covid-19 is not a foodborne illness, it's a respiratory illness. however, covid-19 is a reportable disease and the health department is notified of all positive cases."
"i am attending a small gathering or an event such as a wedding, a party or sports tournament. what precautions should i take to protect myself and others from getting infected with covid-19?","always check local regulations before attending an event.stay at home if you are feeling unwell.always comply with the following 3 basic preventive measures:maintain at least 1 metre distance from others, and wear a mask if you cannot guarantee this distance.cover a sneeze or cough with a tissue or bent elbow, and immediately dispose of tissue in a closed-lid bin. avoid touching eyes, nose and mouth.wash your hands frequently with soap and water, or with a hand sanitizer."
pick age-appropriate games that teach math and reading at fun brain.,"fun brain offers activities for kids from pre-k through junior high. many of the games center around math concepts like the number line, but they also provide free texts of books your kids will actually want to read.  some of the games you'll find include math baseball, shape invasion, grammar gorillas, and more! visit https://www.funbrain.com/ to learn more."
will aphis continue to ensure compliance of facilities handling select agents to ensure proper storage and maintenance?,"at this time, aphis’ agriculture select agent services (agsas) will not be conducting routine inspections. we do have the ability to extend registration validity to ensure that all facilities are authorized to possess, use or transfer select agents. should a compliance issue arise, we have the ability to conduct the necessary follow up, including an inspection."
what guidance does usda have on food planning for families during the coronavirus pandemic?,"check out www.choosemyplate.gov/coronavirus for tips on food planning, including what to buy, how much to buy, and preparation tips."
what are the treatments?,"there are no specific treatments for illnesses caused by human coronaviruses at this time. there is ongoing medical research regarding treatment of sars-cov-2. although most people will recover on their own, you can do some things to help relieve your symptoms, including: take medications to relieve pain and fever use a room humidifier or take a hot shower to help ease a sore throat and cough if you are mildly sick, drink plenty of fluids, stay home, and get plenty of rest"
"if i were exposed to covid-19, how long would it take for me to become sick?","the time between exposure to the covid-19 virus and onset of symptoms is called the “incubation period.” the incubation period for covid-19 is typically 2 to 14 days, although in some cases it may be longer."
does ahcccs have any update on retainer payments for providers?,ahcccs is in frequent contact with cms regarding its request for approval authority for retention payments for other provider types and services including but not limited to behavioral health providers. the faqs will be updated as new information is received.
what has ahcccs done to date to supply financial relief to providers impacted by the covid-19 emergency?,"additionally, ahcccs has: 				 asked for, and is awaiting, cms approval to make retention payments to other provider types. applied for, and has been awarded, a $2.0 million samhsa grant to increase the mental health services infrastructure in response to the covid-19 national emergency. requested cms approval to make $270 million in interim payments to hospitals participating in the gme program in 2020."
can schools still serve meals while they are closed?,"yes. all states currently have a waiver in place that allows schools to serve meals through the summer food service program (sfsp) or seamless summer option (sso) during unexpected school closures, such as the current national emergency."
governor cuomo has asked for volunteers to provide healthcare services. what forms do i need to complete to sign up to volunteer?,the new york state department of health has a form to complete. please review governor cuomo’s executive orders and the information on this website to determine if you are exempted from nys licensure and/or registration requirements.
how can i help my brother deal with boredom-triggered anger episodes?,take up an activity or hobby that you and your brother would like. this will limit boredom and make time go by quicker.
who is at risk of developing severe illness?,"while we are still learning about how covid-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes) appear to develop serious illness more often than others."
my workplace is open again. how can i protect myself?,"the city has guidance for businesses that are reopening on its website about resources for businesses and non-profits. for more information about your rights as a worker, see the “rights and resources for workers” section above."
"if i’m alone in my office, do i have to wear a face covering?","no. if you are alone in a room that is not frequently visited by people outside your household, you do not have to   wear your face covering."
take care of yourself physically.,"grief can have a lot of physical side effects, including insomnia, nausea, and fatigue. try to keep yourself healthy by getting 8 hours of sleep, eating a balanced diet, and exercising regularly. it can be tough to look after yourself when you’re grieving, so it’s okay if you can’t do all of it."
should people who are not sick wear a mask?,"people with coronavirus may not have symptoms, but they can still spread the virus. so even people without symptoms should wear        a mask."
is there a national testing plan specific to meat and poultry processing plants?,"testing strategy and protocol for critical infrastructure, including meat, poultry, and processed egg product facilities, should be developed by each state, based on ongoing guidance from the department of health and human services (hhs) and cdc."
what information is available to help my business develop an organizational contingency plan?,we have posted available print resources and highlights on the vdh website.
how do i check the status of my social security disability claim?,"you can check the status of your disability claim by visiting the following link, located on the ssa.gov web page: https://www.ssa.gov/onlineservices/ this online service link allows users to check the status of their claim and provides a link to faqs."
does covid-19 stay in the air?,"there is still a lot to learn about covid-19, and we can’t be sure how long this virus stays in the air. we advise taking a cautious approach to prevent spread."
are houses of worship allowed to hold services in phase 2?,"the mass gathering limit and other requirements of this executive order do not apply to worship, religious and spiritual gatherings, funeral ceremonies, wedding ceremonies and other activities constituting the exercise of first amendment rights. individuals are encouraged to follow the three ws to reduce the chance of spreading covid-19."
watch for updates from trustworthy organizations.,"the world health organization, the cdc, and other authorities are constantly updating their pages with information about the best ways to prevent the spread of covid-19. paying close attention to these updates may help you take additional steps to protect yourself and the people around you. if you're able to, it's also great to donate to organizations that are dealing with the covid-19 crisis."
find a stuffed bear that is special to you or your child.,"you can choose an old teddy bear that you’ve had for a while, a bright colored one that’s easy to spot, or just one that your whole family really likes. it can be huge, small, or any size in between, as long as it’s yours. if you don’t have any teddy bears, pick out a different stuffed animal that’s special instead."
support parts of your community that are more affected by covid-19.,"look for opportunities to donate and help parts of your community that have been hit hard by the outbreak, like nursing homes or low-income neighborhoods. even if you can’t go outside a lot, consider donating money or food items to these parts of the community. you can also provide emotional support by sending cards and well wishes! for instance, you can send a card of support to a nursing home, or donate canned food to a food drive."
are there times i can remove my face covering?,"yes. you can take off your face covering to eat, drink, or communicate with someone who is deaf or hard of hearing."
"my coworker/friend just returned from travel and i don’t want him/her in my office, what should i do?",you can speak with your supervisor or human resources department about your concerns and related workplace policies. you can also read more about vdh’s recommendations for travelers and information available for international travelers or travelers.
shake the spray.,shake the spray thoroughly to make sure that all the ingredients of the spray are mixed and that the spray will be effective.
what cleaning products should i use?,"the environmental protection agency (epa) published a list of products to use against coronavirus. refer to it to learn about cleaning products that help slow the spread of covid-19. be sure to check manufacturer's guidelines about cleaning electronic equipment, such as cell phones, laptops, touch screens and keyboards."
what should meat and poultry plants that are currently closed do?,"effective immediately, meat and poultry processing plants should utilize the guidanceissued on sunday, april 26, 2020, by the cdc and osha specific to the meat and poultry processing industry to implement practices and protocols for staying operational or resuming operations while safeguarding the health of the workers and the community."
can my animal be tested for covid-19?,"at this time, the state of delaware, united states department of agriculture (usda), and united states centers for disease control and prevention (cdc) do not recommend routine testing of animals for the virus that causes covid-19 in people. veterinarians who believe an animal should be tested will contact state animal health officials, who will work with public health and animal health authorities to decide whether samples should be collected and tested."
how is covid-19 spread?,"covid-19 is spread from person to person in a fashion similar to that of other respiratory viruses: you can get the virus from inhaling particles sprayed into the air when an infected person coughs or sneezes, especially if you are within six feet of an infected person. you can also get the virus from touching a surface that an infected person coughed or sneezed on and then transferring the virus to your body by touching your eyes, nose or mouth."
can school provide multiple meals at once?,"yes. schools can provide up to two meals and/or snacks per day (excluding lunch and dinner in the same day). under the nationwide waivers currently in place, multiple days of meals can be picked up at one time."
check out science and art at the exploratorium's website.,"san francisco's exploratorium is a museum that features exhibits on science, art, and more. their website allows students to explore these topics as well, including tons of ideas for science projects you can try at home. see some of the fun activities they have to offer, like making a hand-held heat engine or learning about seed germination, by visiting https://www.exploratorium.edu/explore/activities."
fold both pieces of fabric in half with the “good” sides facing in.,"to sew your mask, you’ll need 2 mirrored copies of the pattern for both the outer layer and the liner. folding your fabric before you cut it makes it easy to cut out both pieces. line up the edges of the fabric with the “good” side facing in toward itself and the “rough” side facing out."
sars-cov-2 is just a mutated form of the common cold,"coronaviruses are a large family of viruses, all of which have spiky proteins on their surface. some of these viruses use humans as their primary host and cause the common cold. other coronaviruses, such as sars-cov-2, primarily infect animals.both middle east respiratory syndrome (mers) and severe acute respiratory syndrome (sars) began in animals and passed into humans."
what do the local lockdown restrictions mean?,"so that more people can lead lives closer to normal, the government is replacing national restrictions with local action to contain local outbreaks. where increased local transmission of covid-19 is identified, areas may be required to take additional measures to reduce the spread of the virus. this could include closing certain premises or restricting the movements of people and interactions with others."
can people who recover from covid-19 be infected again?,"the immune response to covid-19 is not yet understood. patients with mers-cov infection are unlikely to be re-infected shortly after they recover, but it is not yet known whether similar immune protection will be observed for patients with covid-19. source: centers for disease control and prevention drafted 11 march 2020"
is there an antiviral treatment for covid-19?,"currently there is no specific antiviral treatment for covid-19.however, drugs previously developed to treat other viral infections are being tested to see if they might also be effective against the virus that causes covid-19."
line up the outside seams on both pieces and pin them in place.,"lay your outer fabric piece down on a flat surface with the good side facing down. then, lay your liner piece over the outer piece with the good side facing up. make sure the nose seams on both pieces are lined up."
how can i explain coronavirus to my child?,"i would try to briefly explain what a virus is and how it spreads when people get close to each other. you should also reiterate that although we have to keep our distance, we still love each other. we still care about each other and in fact, we're keeping the physical distance because we care about each other."
"if coronavirus isn't that deadly, why have they quarantined italy and warned people not to get on cruise ships or planes?","quarantine is necessary to slow down transmission and prevent further spread. for most people, the coronavirus is about as bad as having the flu. older people and people with weakened immune systems are more at risk of complications like pneumonia, so herd immunity plays a big part in it."
practice stress-relieving activities to help you relax.,"to fight boredom, anxiety, and frustration, look for simple, enjoyable activities that you can do while you’re stuck at home. depending on how well you’re feeling, this might include things like:  watching movies or tv shows reading listening to relaxing music playing games meditating or doing light stretches or yoga working on hobbies or creative projects doing light housework"
how long does it take to receive results?,"results from point-of-care tests may be available at the testing site in less than an hour. other viral tests must be sent to a laboratory for analysis, a process that can take a few days. some jurisdictions are experiencing a high demand for testing, which may cause a delay in processing tests and providing results."
how do i know what the manufacturer-designated shelf life is?,"the manufacturer-designated shelf life or expiration date may be found in the product labeling or packaging, or you can contact the manufacturer directly."
are funerals allowed?,funeral services are allowed outdoors if they follow all requirements in the mandatory directives on gatherings.
invite your children to read while they’re stuck at home.,"find some story books or novels that your kids might enjoy. to give your kids a more regimented schedule, set aside 20 minutes or so of designated quiet reading time. as a starting point, 15-20 minutes is a good chunk of time to set aside for reading."
"for contact tracing, who is considered a close contact?","for contact tracing purposes, a ""close contact"" is anyone who was within six feet of you for more than 10 minutes starting two days before you first had symptoms. source: governor's remarks 5/12/20; https://nj.gov/governor/news/news/562020/approved/20200512a.shtml"
where can i find guidelines pertaining to personal protective equipment (ppe)?,"for the most up to date guidance on ppe usage, please continue to reference the united states pharmacopeia (usp) website and usp’s most recent guidance."
help your children practice empathy towards people who are sick.,"remind your kids that there’s nothing wrong with being sick and that people who tested positive for covid-19 need a lot of love and support as they continue to get better. encourage your child to express concern and good wishes for all sick individuals, and not just people they know."
how can staff deal with anxiety and fear when others around them are ill?,educate clients and staff about covid-19. learn about reducing stigma during outbreaks.
should i take my child to an emergency room?,"you should contact your healthcare provider or pediatrician right away if your child has fever, abdominal pain, vomiting, diarrhea, neck pain, rash, bloodshot eyes, or feeling extra tired. seek emergency care immediately if your child is showing any emergency warning signs of mis-c or other concerning signs: trouble breathing, pain or pressure in the chest that does not go away, new confusion, inability to wake or stay awake, bluish lips or face, or severe abdominal pain."
what is the state recommending for social distancing?,"to the extent individuals are using shared or outdoor spaces outside their residence, they must always and as much as reasonably possible maintain social distancing of at least 6 feet from any other person. any public or private gathering of more than 50 people occurring outside a single household is prohibited."
provide links to back up anything you share.,"if you share information with others, make it easier for them to evaluate your claims by citing your sources. always direct them to the article, website, or other source where you got your information instead of just expecting them to take your word. similarly, always ask for a source if someone else shares information with you, especially before you pass their info along to anybody else."
accept the consequences.,"you should expect all possibilities for getting infected and plan to manage their consequences. for example, if you are supposed to attend school, you should have the ability to take courses online in case you get infected because you will not be able to join the in-person community until you completely recover from the virus."
i need to provide my child’s school with documentation from our healthcare provider in order for my child to return to school for the 2020-2021 school year. should i take my child to their healthcare provider during this time of covid-19?,"the virginia department of health is encouraging students and their families to prepare for the upcoming school year. many students will need updated immunizations, physicals for enrollment, medication administration, documentation for health conditions and emergency action plans for chronic conditions (asthma, allergy, diabetes and seizures). please contact your health care provider to discuss your child’s medical needs for the upcoming school year."
how long can covid-19 survive in the environment?,the length of time that the virus survives likely depends on factors. these factors could include the type of material or body fluid containing the virus and various environmental conditions such as temperature or humidity. researchers at the centers for disease control and prevention and other institutions are designing standardized experiments to measure how long covid-19 can survive in situations that simulate natural environmental conditions.
make sure they rest as much as possible.,"it’s important for your sick loved one to get lots of sleep and limit their activity level while they recover. encourage them to sleep, and ask others to stay quiet and avoid disturbing them while they rest."
"if the employee has not worked long enough to be eligible for efmla, can they still take paid covid-19 leave?","yes. an employee can take up to 80 hours of paid covid-19 leave, even if they cannot take efmla leave. to be eligible for efmla, an employee must have worked for any executive branch agency, including msrs, pera, tra or minnesota state, for at least 30 calendar days prior to the start of their leave."
how will i know if my child's school is closed?,"look out for information from your school district. information may come via phone, email, or website depending on your school’s communication plan. local media outlets may provide updates, since they often monitor this information."
"hi i'm in quarantine and i have just recovered from the virus. what can i do to start getting back into shape, do you recommend any exercises?","do cardio exercises, like walking, running, swimming, or biking, as they are the most important right now. if you live with anyone, exercise with them."
what are schools doing to prepare for covid-19?,"schools are advised to ensure adequate supplies are available to support healthy hygiene practices, and to routinely clean and disinfect objects and surfaces that are frequently touched. they are also working closely with local health officials to review and update their school emergency operation plans, and to determine if or when to dismiss schools."
use a mask with at least 2 layers of fabric.,"while a single layer of cloth is better than nothing, a good mask should have at least 2 layers for ideal protection. check any mask that you’re considering to confirm that there are at least 2 cloth layers protecting your face. if you’re making your own mask, sew or fold it so there are at least 2 layers of cloth covering your mouth and nose."
offer to care for their pets.,"as cute and cuddly as pets may be, there isn’t a lot known about how the virus can spread between animals and humans. while visiting, ask your elderly friend or relative if you can walk, feed, or otherwise care for their pet so they don’t have to."
is mortgage relief available to businesses?,the answer to your question can be found in this article on the business information hub.
what happens if they do not listen?,be stern and serious about the topic and explain the health consequences of disobeying the social distancing rules and how it could harm not only themselves but also others. keep them entertained at home with an activity they enjoy.
are salons and barbershops open?,"as of june 5 (with exceptions in miami-dade, broward, and palm beach counties), salons and barbershops may continue operating while adhering to safety protocols. for additional guidance, visit http://www.myfloridalicense.com/dbpr/os/documents/2020.05.09%20dbpr%20faqs%20re%20executive%20order%2020-120.pdf"
if a t35 program is shortened or cancelled can the unused funds carryover to the following year?,"recipients may request prior approval for carryover by contacting the funding ic. potential options include a mid-project extension, where an extra year added to the end or, if a summer period is shortened, ‘offset’ the award (add unobligated funds from the prior year) to the following year."
"if a facility is regulated by the food and drug administration (fda) and can’t comply because it cannot open up doors and windows in a clean room environment, what should it do?",the business should follow fda regulations and should consider the safety of its facility and employees while complying while making the best decision possible.
can i give covid-19 to my pet?,"to date, there is no evidence of human-to-pet illness in pets. we are still learning about this virus, but it appears it can spread from people to animals in some situations."
"i run a retail business, and i’m not comfortable allowing anyone into my store without a face covering. what     can my business do to accommodate shoppers who can’t wear face coverings for medical or disability-related     reasons?","retailers are encouraged to offer accommodations to customers who are unable to wear face coverings for medical or   disability-related reasons. accommodations may include things like offering delivery services, or accepting   customers’ shopping lists over the phone or at curbside and bringing the items outside to the customer so they don’t   need to enter the store."
are georgia beaches open?,"georgia's beaches are open, and visitors must follow cdc social distancing guidelines. ferry service to cumberland island resumed june 26, and facilities and services managed by the national park service for cumberland island are increasing in a phased approach."
my son is in kingston waiting to be deployed in halifax to begin his career. he was to leave just before the lockdown across the country. do you think he will be leaving soon?,"the re-activation of the training system will be a very deliberate process that accounts for the unique needs of the services as well as local restrictions. due to this, there is no pan-caf date for all foundational training to resume however we expect that most if not all training should start again by mid-july 2020."
what are the symptoms of the new coronavirus disease (covid-19)?,"the cdc notes that symptoms of the novel coronavirus include “fever and symptoms of lower respiratory illness (e.g., cough, difficulty breathing).” avoid contact with someone who is suspected of having the virus."
where can the most up-to-date information be found?,"the situation is likely to continue changing as more information and facts about the new virus emerge. for the most current information, visit the cdc website: www.cdc.gov."
how have processes changed inside ers due to covid-19?,ers is fully prepared to deliver its regular mission-related activities and to support departmental needs for analysis in a virtual environment. nearly 100% of staff are telework ready and ers is operating in a 100% cloud computing environment.
how does public health know when a person has covid-19?,"by law, doctors and labs must report positive cases of covid-19 to the local health jurisdiction (county health department, etc.). a trained contact tracer then reaches out to the person who tested positive to start a case investigation."
will drive-through testing centers continue at mtfs?,individual mtfs will make the decision regarding the operation of drive-through testing centers based on the hpcon status of the facility and local conditions.
is drinking bleach or another disinfectant an effective treatment for covid-19?,"no, it is not. drinking bleach or any disinfectant is very dangerous and can cause serious illness or death. please consult a licensed physician or other healthcare provider for treatment recommendations."
keep doing your best.,"this is a tough time and coping won't always be easy. don't expect perfection from yourself, and be willing to forgive yourself for mistakes. remember that each day is a new day, and keep doing the best you can using the resources you have."
what will happen if animals are shipped to a slaughter establishment that closes due to local restrictions or staffing shortages?,"fsis front-line supervisors and district managers are working closely with slaughter establishments to ensure adequate staffing of fsis inspection personnel in support of continued plant operations. prior to arrival at a slaughter establishment, livestock fall under the jurisdiction of local government with aphis providing assistance as warranted. in the event of a plant closure, aphis field staff would coordinate with state and regional plant staff to determine how and where to divert animals."
what other respiratory illnesses should i consider in my differential diagnoses? how do i proceed with these results?,"other differential diagnoses should be based on the physician’s clinical judgement depending on the patient’s illness and risk factors. examples include respiratory disease from influenza, other viral respiratory pathogens, typical and atypical bacteria, etc."
add a sign with words of encouragement if you’d like to.,"since the state of the world is a little scary right now, it might be nice to send some positivity to your neighbors. try making a sign with your kids saying “hang in there,” “we’ve got this,” or even just “stay happy.” if your kids are young, you can write the letters and have them draw pictures around them."
does the requirement to conduct temperature screenings only apply after an employer is aware of a potential or actual exposure?,"the requirement to conduct temperature screenings is only intended to address the circumstances after an employer becomes aware of a potential or actual exposure. however, the department of health recommends temperature screenings be conducted, at all times, however, particularly in those areas of the commonwealth with high positive case numbers."
what is who doing to address ventilation in the context of covid-19?,"who has contributed to guidance on ventilation and air-conditioning systems in the context of covid-19, available here.who works closely with the world meteorological organization joint office for climate and health and the united states national oceanic and atmospheric administration (noaa) through the global heat health information network to develop and update this guidance."
use a contactless payment method if you can.,"to avoid spreading germs during a cash or credit card transaction, look into whether your grocery store accepts any forms of payment that don't require you to touch a keypad or grab a handful of change. for instance, point-of-sale systems feature a type of technology that allows you to simply wave your card over a card reader in order to pay for your goods. some places may also accept mobile payments at the register through services like paypal, apple pay, or google pay."
are the disinfectants safe to use on your skin?,"many of these disinfectants have alcohol that can dry out your skin. you can use them, but consider using a topical hand cream after."
what about hosting large meetings (at a residential treatment facility)?,"think about holding large meetings at another time if they are not needed to protect the health and safety of residents. governor inslee issued an emergency proclamation that limits large events to minimize public health risks. although the declaration is specific to snohomish, king, and pierce counties, facilities are urged to consider the risks state wide."
"if a sick employee arrives on site, what options do i have?","sick employees, including employees with a fever, cough, or shortness of breath, should immediately be separated from other employees and sent home. employees unable to work due to covid-19 related reasons may be eligible for paid leave mandated by the families first coronavirus response act (ffcra), unemployment compensation (uc), or existing paid leave available through the employer. visit our covid-19 guidance & resource site for more information on ffcra and uc."
follow a predictable routine.,try following a variation of your normal weekend or home vacation routine. maintaining a healthy routine can help your loved one maintain a sense of normalcy.
"will i need to come in for a follow-up, or can that be done with telemedicine?",your doctor will let you know if you need an in-person visit or if you can have a post-surgical follow-up visit by telephone or video.
make a game out of washing and sanitizing toys.,"fill a plastic bin with warm, soapy water, and encourage your children to wash their toys. invite them to dunk their hands and toys into the water, then use a brush or sponge to clean them off. as a finishing touch, they can dry off the toys with a clean towel."
is this a research project?,"no, this is a public health surveillance activity that is conducted, supported, and requested by the virginia department of health. as such, according to 45 cfr § 46.102, this project is considered a public health surveillance activity and not research."
will my contacts know if i got them sick?,"all public health professionals who conduct contact tracing are highly trained in confidentiality. when they talk to people who have been in contact with a patient, they do not share any information about that person under any circumstance."
where can i learn more about the situation and the guidelines from my country?,each eu/eea country and the uk have dedicated websites with information for the public on covid-19 and on the national situation. consult with your national authorities to get advice tailored for your setting.
where can i find covid-19 guidance and resources for clinicians  and facilities ?,please refer to the covid-19 guidance and resources for  clinicians & facilities webpage for more  information. click  here .
take an online course to sharpen your skills.,"no matter what industry you’re going into, you can use your newfound free time to find a class online and increase your skill level. try looking for online courses at your local community college, searching for courses online, or even finding helpful youtube videos to explain difficult concepts. this can be a great way to fill in your resumé, and you can explain to potential employers that you used your free time to hone your skills and abilities."
am i required to search for work and report to gdol while unemployed due to covid-19?,"all work search requirements mandated by o.c.g.a. section 34-8-195(3)(a) are waived for all claims filed on or after march 14, 2020 per emergency rule until further notice."
can i receive benefits if my employer sent me home because of covid-19?,"if your employer sent you home due to a lack of work because of covid-19 and is not paying you for your time off, you are eligible to receive unemployment benefits. only workers who are not being paid or who are being paid for reduced hours due to covid-19 are eligible to receive benefits. you must report gross wages earned and any leave pay as earnings for each week claimed for benefits."
if an employee is ill because of the coronavirus and unable to work or cannot work because they must care for a family member who is ill with the coronavirus will they be eligible for unemployment benefits? what if a worker must stay home to care for a child?,delaware will consider this employee temporarily laid off during the state of emergency. the employee should return to work as soon as they are released. if work is no longer available after the employee is released for work or the employee fails to return to work the agency will make a new determination.
i’ve tried all of this and it didn’t help now what?,"although it can be hard, try to speak to someone you trust. it can be nerve racking beforehand but after talking to someone, you will feel a million times better."
